numberOfPersons;time_ms
1;85.0
2;78.0
3;78.0
4;79.0
5;78.0
6;80.0
7;78.0
8;80.0
9;79.0
10;79.0
11;79.0
12;81.0
13;80.0
14;82.0
15;79.0
16;82.0
17;81.0
18;81.0
19;82.0
20;81.0
21;82.0
22;82.0
23;82.0
24;83.0
25;80.0
26;81.0
27;82.0
28;81.0
29;81.0
30;83.0
31;82.0
32;82.0
33;82.0
34;82.0
35;83.0
36;82.0
37;86.0
38;83.0
39;86.0
40;85.0
41;83.0
42;84.0
43;82.0
44;87.0
45;87.0
46;86.0
47;83.0
48;89.0
49;87.0
50;82.0
51;84.0
52;92.0
53;85.0
54;87.0
55;87.0
56;86.0
57;86.0
58;89.0
59;88.0
60;88.0
61;86.0
62;86.0
63;89.0
64;87.0
65;89.0
66;88.0
67;88.0
68;86.0
69;88.0
70;86.0
71;87.0
72;88.0
73;88.0
74;88.0
75;88.0
76;89.0
77;89.0
78;91.0
79;91.0
80;87.0
81;87.0
82;89.0
83;89.0
84;89.0
85;88.0
86;89.0
87;88.0
88;89.0
89;91.0
90;91.0
91;88.0
92;90.0
93;91.0
94;88.0
95;89.0
96;91.0
97;90.0
98;90.0
99;90.0
100;96.0
101;97.0
102;97.0
103;97.0
104;99.0
105;96.0
106;90.0
107;92.0
108;91.0
109;92.0
110;89.0
111;93.0
112;91.0
113;90.0
114;90.0
115;92.0
116;92.0
117;90.0
118;94.0
119;90.0
120;91.0
121;91.0
122;93.0
123;91.0
124;92.0
125;92.0
126;91.0
127;92.0
128;92.0
129;94.0
130;92.0
131;93.0
132;93.0
133;95.0
134;95.0
135;93.0
136;96.0
137;94.0
138;93.0
139;96.0
140;95.0
141;95.0
142;94.0
143;96.0
144;98.0
145;95.0
146;93.0
147;93.0
148;93.0
149;96.0
150;95.0
151;93.0
152;96.0
153;94.0
154;95.0
155;94.0
156;95.0
157;96.0
158;93.0
159;95.0
160;96.0
161;96.0
162;97.0
163;95.0
164;96.0
165;97.0
166;100.0
167;100.0
168;101.0
169;99.0
170;97.0
171;96.0
172;99.0
173;102.0
174;100.0
175;94.0
176;98.0
177;95.0
178;97.0
179;98.0
180;97.0
181;96.0
182;106.0
183;103.0
184;96.0
185;99.0
186;99.0
187;96.0
188;96.0
189;96.0
190;97.0
191;102.0
192;96.0
193;99.0
194;96.0
195;101.0
196;100.0
197;99.0
198;98.0
199;100.0
200;97.0
201;100.0
202;98.0
203;101.0
204;97.0
205;99.0
206;100.0
207;100.0
208;95.0
209;99.0
210;98.0
211;99.0
212;99.0
213;100.0
214;99.0
215;102.0
216;101.0
217;101.0
218;98.0
219;98.0
220;100.0
221;100.0
222;104.0
223;103.0
224;100.0
225;102.0
226;99.0
227;99.0
228;100.0
229;98.0
230;99.0
231;103.0
232;103.0
233;102.0
234;102.0
235;102.0
236;104.0
237;101.0
238;100.0
239;100.0
240;101.0
241;106.0
242;104.0
243;102.0
244;101.0
245;104.0
246;106.0
247;117.0
248;107.0
249;103.0
250;99.0
251;104.0
252;100.0
253;101.0
254;99.0
255;103.0
256;105.0
257;104.0
258;105.0
259;100.0
260;103.0
261;106.0
262;100.0
263;101.0
264;105.0
265;104.0
266;104.0
267;103.0
268;104.0
269;107.0
270;107.0
271;108.0
272;102.0
273;147.0
274;103.0
275;101.0
276;100.0
277;102.0
278;104.0
279;104.0
280;102.0
281;100.0
282;105.0
283;104.0
284;105.0
285;105.0
286;105.0
287;104.0
288;101.0
289;103.0
290;105.0
291;110.0
292;102.0
293;102.0
294;108.0
295;101.0
296;106.0
297;106.0
298;101.0
299;107.0
300;104.0
301;109.0
302;103.0
303;102.0
304;105.0
305;103.0
306;102.0
307;100.0
308;101.0
309;104.0
310;106.0
311;104.0
312;104.0
313;104.0
314;107.0
315;102.0
316;104.0
317;103.0
318;107.0
319;104.0
320;101.0
321;103.0
322;101.0
323;101.0
324;101.0
325;105.0
326;101.0
327;104.0
328;105.0
329;103.0
330;101.0
331;109.0
332;124.0
333;123.0
334;119.0
335;104.0
336;106.0
337;107.0
338;110.0
339;107.0
340;110.0
341;108.0
342;106.0
343;108.0
344;107.0
345;105.0
346;102.0
347;107.0
348;103.0
349;107.0
350;104.0
351;107.0
352;103.0
353;105.0
354;103.0
355;104.0
356;106.0
357;103.0
358;105.0
359;104.0
360;101.0
361;104.0
362;106.0
363;104.0
364;106.0
365;101.0
366;108.0
367;105.0
368;103.0
369;103.0
370;108.0
371;103.0
372;107.0
373;103.0
374;103.0
375;102.0
376;105.0
377;106.0
378;101.0
379;107.0
380;102.0
381;105.0
382;102.0
383;110.0
384;105.0
385;106.0
386;102.0
387;104.0
388;101.0
389;107.0
390;101.0
391;104.0
392;103.0
393;104.0
394;110.0
395;105.0
396;108.0
397;106.0
398;107.0
399;104.0
400;106.0
401;103.0
402;107.0
403;104.0
404;105.0
405;112.0
406;111.0
407;108.0
408;110.0
409;109.0
410;106.0
411;109.0
412;113.0
413;104.0
414;104.0
415;107.0
416;106.0
417;105.0
418;107.0
419;106.0
420;105.0
421;108.0
422;106.0
423;104.0
424;103.0
425;107.0
426;104.0
427;108.0
428;104.0
429;107.0
430;108.0
431;106.0
432;111.0
433;107.0
434;102.0
435;109.0
436;108.0
437;106.0
438;104.0
439;105.0
440;107.0
441;112.0
442;104.0
443;104.0
444;105.0
445;107.0
446;105.0
447;107.0
448;105.0
449;107.0
450;107.0
451;106.0
452;105.0
453;106.0
454;104.0
455;105.0
456;111.0
457;109.0
458;108.0
459;105.0
460;109.0
461;104.0
462;107.0
463;108.0
464;104.0
465;109.0
466;106.0
467;110.0
468;107.0
469;107.0
470;106.0
471;109.0
472;107.0
473;112.0
474;107.0
475;107.0
476;104.0
477;104.0
478;104.0
479;106.0
480;104.0
481;110.0
482;108.0
483;107.0
484;105.0
485;111.0
486;111.0
487;107.0
488;110.0
489;105.0
490;110.0
491;106.0
492;105.0
493;109.0
494;103.0
495;107.0
496;109.0
497;122.0
498;105.0
499;106.0
500;110.0
501;105.0
502;105.0
503;107.0
504;108.0
505;106.0
506;107.0
507;110.0
508;108.0
509;109.0
510;107.0
511;107.0
512;108.0
513;107.0
514;109.0
515;108.0
516;106.0
517;110.0
518;111.0
519;108.0
520;109.0
521;108.0
522;111.0
523;109.0
524;109.0
525;110.0
526;108.0
527;110.0
528;111.0
529;112.0
530;113.0
531;112.0
532;105.0
533;107.0
534;108.0
535;110.0
536;106.0
537;112.0
538;113.0
539;109.0
540;112.0
541;107.0
542;107.0
543;110.0
544;108.0
545;110.0
546;109.0
547;104.0
548;114.0
549;109.0
550;107.0
551;108.0
552;111.0
553;113.0
554;108.0
555;109.0
556;107.0
557;109.0
558;111.0
559;107.0
560;111.0
561;110.0
562;106.0
563;115.0
564;110.0
565;108.0
566;113.0
567;107.0
568;108.0
569;116.0
570;116.0
571;114.0
572;117.0
573;112.0
574;113.0
575;105.0
576;126.0
577;112.0
578;109.0
579;109.0
580;111.0
581;109.0
582;115.0
583;108.0
584;112.0
585;112.0
586;106.0
587;110.0
588;110.0
589;109.0
590;110.0
591;113.0
592;105.0
593;114.0
594;109.0
595;108.0
596;110.0
597;115.0
598;108.0
599;112.0
600;115.0
601;112.0
602;112.0
603;109.0
604;109.0
605;109.0
606;112.0
607;110.0
608;107.0
609;112.0
610;113.0
611;110.0
612;113.0
613;109.0
614;110.0
615;113.0
616;107.0
617;110.0
618;109.0
619;114.0
